elapsed_min,km,pace,hr,cad,power,alt,moved_m,grade_pct,ngp
89.5,10.57,14:22,130,60,89,204.4,34,0.2,14:30
90.0,10.64,7:17,145,86,234,211.0,69,8.4,5:04
90.5,10.66,17:00,149,57,67,212.9,21,8.9,10:03
91.0,10.69,25:15,133,52,43,212.5,22,-3.6,27:18
91.5,10.71,17:13,115,56,64,212.2,24,-2.1,17:59
92.0,10.74,12:59,118,71,84,212.2,34,1.6,12:43
92.5,10.78,15:00,114,89,61,207.4,37,-14.1,15:23
93.0,10.85,7:29,123,94,118,196.9,71,-14.1,8:10
93.5,10.93,6:24,142,88,202,190.6,75,-11.5,6:48
94.0,11.0,6:39,151,86,160,188.7,71,-0.9,6:31
94.5,11.06,9:42,151,81,170,192.0,60,3.0,7:49
95.0,11.12,7:15,156,87,225,198.7,64,9.2,4:58
95.5,11.18,8:05,160,85,226,207.0,63,13.3,4:35
96.0,11.26,6:54,164,84,180,211.5,71,7.9,4:58
96.5,11.32,7:34,158,86,133,209.4,69,-2.3,8:01
97.0,11.38,7:27,156,87,205,211.2,61,0.5,7:10
97.5,11.42,12:27,156,64,155,218.3,33,21.5,5:29
98.0,11.43,27:01,145,49,45,220.1,9,17.0,11:45
98.5,11.43,33:36,133,57,34,220.1,4,-1.0,34:21
99.0,11.44,22:31,122,48,56,220.1,4,-0.8,23:02
99.5,11.44,,122,64,,220.3,0,-0.6,
100.0,11.44,,114,,,220.5,0,-0.6,
100.5,11.44,,118,70,,220.5,1,-0.6,
101.0,11.44,27:25,114,26,34,221.0,4,0.5,22:00
101.5,11.45,22:41,112,38,48,220.7,10,-0.2,21:51
102.0,11.45,49:01,110,60,26,221.1,1,-3.9,54:29
102.5,11.47,17:25,110,56,56,220.8,18,-1.6,17:41
103.0,11.53,8:51,112,89,104,217.1,64,-6.2,9:59
103.5,11.61,6:02,144,90,180,214.1,80,-4.2,6:42
104.0,11.69,6:16,152,89,156,209.7,81,-5.1,7:04
104.5,11.75,7:06,135,90,150,206.6,56,-4.1,7:52
105.0,11.8,9:54,135,87,108,197.6,55,-18.6,9:36
105.5,11.87,9:02,138,77,143,199.1,68,-0.2,8:03
106.0,11.94,6:41,144,86,146,195.2,68,-3.9,7:07
106.5,12.01,6:56,148,86,179,195.2,73,-0.9,6:50
107.0,12.07,8:41,153,84,140,195.0,57,-0.8,8:50
107.5,12.13,9:02,150,79,156,197.3,58,2.8,7:57
108.0,12.18,8:36,148,76,164,199.9,55,4.2,7:22
108.5,12.21,15:46,139,55,157,206.5,24,22.3,6:43
109.0,12.24,18:28,124,54,147,214.0,30,28.3,5:55
109.5,12.28,14:23,113,57,170,222.2,43,23.8,5:15
110.0,12.33,9:51,109,101,98,220.7,48,3.9,7:11
110.5,12.4,7:32,118,102,120,206.1,74,-21.7,6:46
111.0,12.47,6:39,137,103,133,192.1,66,-18.7,6:31
111.5,12.53,7:51,137,91,113,178.3,57,-22.0,6:53
112.0,12.57,11:03,136,72,87,163.9,41,-32.8,6:35
112.5,12.62,11:22,131,83,83,150.8,48,-29.9,7:23
113.0,12.65,11:57,125,90,83,137.1,37,-33.8,7:03
113.5,12.73,7:22,139,92,118,125.1,75,-18.8,7:10
114.0,12.81,6:19,139,93,139,113.6,79,-14.2,6:59
114.5,12.88,6:32,143,94,136,103.0,76,-14.4,7:12
115.0,12.97,5:44,154,90,167,95.0,91,-10.0,6:39
115.5,13.07,5:23,162,91,178,87.3,93,-8.2,6:17
116.0,13.15,5:29,163,90,220,86.2,89,-2.4,5:47
116.5,13.24,5:48,172,89,163,81.9,88,-3.3,6:12
117.0,13.34,5:11,177,90,184,74.4,93,-7.9,6:04
117.5,13.43,5:27,170,89,174,67.4,96,-7.7,6:23
118.0,13.53,5:16,177,90,184,60.5,98,-7.4,6:09
118.5,13.62,5:10,173,90,189,54.3,95,-6.3,5:58
119.0,13.72,5:10,172,90,188,47.5,97,-7.1,6:00
119.5,13.81,5:36,174,90,186,43.1,89,-5.6,6:24
120.0,13.88,6:28,179,85,176,41.9,67,-2.1,6:54
120.5,13.89,27:36,169,55,41,41.4,13,-4.3,30:35
121.0,13.9,12:49,135,50,92,41.3,8,-1.5,13:00
121.5,13.91,27:28,121,54,39,41.4,8,0.1,27:31
122.0,13.91,,116,66,,41.3,0,-2.0,
122.5,13.91,,111,,,40.9,0,-2.0,
123.0,13.91,,105,,,41.0,0,-2.0,
123.5,13.91,,106,,,40.9,0,-2.0,
124.0,13.91,27:47,106,57,31,41.1,3,-1.6,25:41
124.5,13.98,6:27,110,88,165,40.9,67,0.4,6:29
125.0,14.04,6:33,124,80,163,39.2,59,-5.8,6:51
125.5,14.1,7:21,140,75,142,37.6,63,-5.6,7:49
126.0,14.17,6:37,140,87,163,35.4,72,-3.0,7:13
126.5,14.25,6:50,137,89,176,36.1,82,0.3,6:44
127.0,14.34,6:11,141,89,181,36.4,83,0.7,6:03
127.5,14.39,7:46,142,78,146,35.8,58,-0.9,7:57
128.0,14.4,27:17,135,54,43,35.2,2,-8.5,30:43
128.5,14.41,11:54,125,70,90,35.3,11,-7.4,11:49
129.0,14.47,7:24,131,92,289,43.1,68,8.0,5:03
129.5,14.55,7:01,141,89,255,54.5,74,17.1,3:21
130.0,14.6,8:37,153,87,226,62.6,54,14.1,4:49
130.5,14.64,11:03,158,85,177,71.2,38,21.2,4:37
131.0,14.67,14:52,160,75,166,79.6,32,33.9,5:35
131.5,14.71,11:23,159,83,231,90.6,38,24.5,4:03
132.0,14.78,7:45,154,86,193,98.9,72,18.8,3:46
132.5,14.86,5:53,163,88,234,98.9,76,-0.9,5:57
133.0,14.95,5:51,171,91,186,98.6,86,1.0,5:19
133.5,15.01,7:19,166,87,213,101.6,66,2.5,6:27
134.0,15.07,9:08,168,86,234,110.6,55,15.1,4:45
134.5,15.12,9:11,168,85,222,121.0,58,20.5,3:53
135.0,15.2,6:22,170,88,205,124.6,75,5.5,5:02
135.5,15.25,9:16,176,86,235,133.3,54,14.5,4:57
136.0,15.31,9:25,185,85,223,143.9,54,20.6,3:55
136.5,15.36,8:07,164,84,202,149.8,56,9.9,5:22
137.0,15.41,10:54,152,82,212,159.0,45,19.6,4:45
137.5,15.46,9:15,152,84,184,167.0,57,16.2,4:37
138.0,15.51,11:48,167,84,201,175.6,44,19.8,5:05
138.5,15.58,6:35,173,86,207,180.7,71,7.9,4:44
139.0,15.62,10:14,176,84,214,188.3,41,15.1,5:25
139.5,15.65,14:03,176,77,208,199.0,34,29.6,4:10
140.0,15.69,15:11,171,54,167,208.5,30,34.1,4:28
140.5,15.72,13:29,168,75,182,217.1,37,23.6,5:05
141.0,15.75,14:49,167,58,170,225.7,31,29.2,5:08
141.5,15.78,17:35,161,52,150,234.2,28,34.1,5:16
142.0,15.84,9:34,123,73,159,240.8,61,19.3,4:47
142.5,15.89,8:16,126,84,222,243.2,50,2.3,7:27
143.0,15.94,10:36,135,72,153,251.2,51,25.1,4:11
143.5,16.01,6:55,138,85,215,251.0,63,-1.7,7:09
144.0,16.04,13:19,147,69,178,259.7,36,23.3,5:01
144.5,16.09,12:42,136,65,170,267.4,45,20.1,5:26
145.0,16.15,8:26,130,86,203,275.2,61,13.8,4:43
145.5,16.2,9:09,147,83,219,283.0,49,13.5,5:11
146.0,16.2,13:05,151,61,112,286.3,0,29.3,4:27
146.5,16.2,28:59,143,50,46,286.2,5,1.5,31:03
147.0,16.22,27:01,138,51,45,286.7,16,2.0,24:29
147.5,16.23,21:44,126,48,48,286.7,10,0.8,21:29
148.0,16.23,,124,57,,287.0,3,-1.5,
148.5,16.23,,118,104,,287.4,1,-1.5,
149.0,16.24,35:05,113,52,36,287.5,5,0.9,34:08
149.5,16.24,,121,56,,287.9,1,2.9,
150.0,16.24,29:25,119,59,35,287.7,4,2.1,33:17
150.5,16.26,20:13,121,52,63,288.0,15,0.3,20:15
151.0,16.33,8:06,120,89,142,289.0,71,2.3,7:27
151.5,16.41,6:35,140,88,160,286.5,80,-3.0,7:10
152.0,16.46,8:28,148,84,122,284.0,55,-4.1,9:27
152.5,16.54,7:20,162,85,126,278.1,72,-8.1,8:33
153.0,16.6,6:32,151,86,193,277.0,69,-3.2,6:59
153.5,16.63,15:09,128,60,160,282.6,29,14.6,8:05
154.0,16.68,13:20,107,63,150,290.1,47,21.7,5:22
154.5,16.74,8:31,106,77,170,294.3,56,7.5,6:20
155.0,16.81,7:23,114,85,197,299.8,74,8.3,5:16
155.5,16.91,5:18,123,88,187,297.7,98,-0.4,5:16
156.0,16.98,6:31,125,92,148,291.0,69,-8.6,7:32
156.5,17.04,7:34,134,85,132,286.1,67,-8.4,8:42
157.0,17.11,8:19,142,83,134,284.4,61,-3.1,9:03
157.5,17.16,8:50,142,82,99,276.5,58,-12.0,9:12
158.0,17.25,6:26,151,88,153,268.9,82,-11.5,7:14
158.5,17.32,6:22,166,87,160,264.7,80,-5.5,7:16
159.0,17.42,5:36,172,89,192,262.2,93,-3.2,6:08
159.5,17.48,6:14,174,86,195,260.6,66,-2.7,6:45
160.0,17.55,8:44,170,93,100,255.5,61,-3.7,8:59
160.5,17.61,7:01,178,90,126,244.0,64,-16.3,7:22
161.0,17.67,9:19,172,93,97,231.5,60,-22.7,7:58
161.5,17.73,8:15,158,104,108,219.6,56,-19.9,7:46
162.0,17.81,6:08,148,94,154,207.4,85,-17.1,6:18
162.5,17.87,7:25,149,79,129,200.9,60,-10.3,8:38
163.0,17.94,7:45,139,102,114,193.1,69,-10.4,8:58
163.5,18.01,6:50,143,104,134,175.7,70,-22.2,5:50
164.0,18.07,8:10,150,103,112,158.3,56,-29.4,5:25
164.5,18.14,7:37,147,105,122,140.3,73,-27.2,5:30
165.0,18.22,6:10,151,92,150,125.0,82,-21.3,5:32
165.5,18.32,5:15,166,94,171,115.5,101,-9.8,6:07
166.0,18.43,4:39,181,91,222,107.0,109,-9.2,5:23
166.5,18.54,4:29,183,90,223,102.7,109,-3.4,4:55
167.0,18.64,4:45,184,91,207,94.5,100,-7.9,5:32
167.5,18.82,9:16,185,92,101,85.8,182,-16.8,9:34
168.0,18.93,5:05,182,91,216,82.1,113,-5.8,5:35
168.5,19.04,4:36,183,91,215,78.2,108,-2.5,4:55
169.0,19.16,4:28,181,92,199,65.6,121,-10.4,5:10
169.5,19.28,4:11,179,91,241,56.4,119,-8.8,4:51
170.0,19.4,4:17,180,91,246,52.4,116,-3.7,4:44
170.5,19.52,4:15,172,91,259,50.0,121,-2.4,4:34
171.0,19.64,4:28,174,90,244,48.8,116,-1.0,4:36
171.5,19.73,4:53,176,88,234,47.3,94,-1.8,5:10
172.0,19.81,5:45,178,90,218,49.1,78,1.7,5:26
172.5,19.81,17:52,181,90,74,50.2,0,5.0,14:22
173.0,19.97,8:07,178,89,124,51.0,166,4.3,7:24
