elapsed_min,km,pace,hr,cad,power,alt,moved_m,gct_ms,vo_mm,vr_pct,step_cm
48.5,9.52,6:31,159,87,263,10.7,92,264,95.2,12.5,87.5
49.0,9.61,5:29,161,87,209,11.0,88,226,95.9,9.2,104.6
49.5,9.7,5:33,162,86,205,10.0,92,225,95.8,9.2,103.8
50.0,9.77,6:42,159,87,168,8.7,70,258,93.2,11.0,85.5
50.5,9.85,6:01,152,86,153,4.0,83,248,101.3,10.5,96.4
51.0,9.93,6:45,152,84,202,5.8,74,242,101.9,11.3,87.7
51.5,10.0,6:40,161,87,225,9.9,76,250,93.0,10.9,86.0
52.0,10.1,5:54,161,87,205,11.3,96,234,95.7,10.2,96.7
52.5,10.18,5:37,161,87,225,12.7,86,224,98.1,9.5,101.9
53.0,10.27,5:42,163,87,216,14.2,84,228,95.3,9.5,100.6
53.5,10.35,5:48,163,87,217,15.8,87,230,98.6,9.9,99.1
54.0,10.43,5:50,161,86,216,17.7,78,231,99.8,10.0,99.7
54.5,10.52,5:53,159,87,218,19.9,86,231,100.6,10.3,97.7
55.0,10.61,5:43,161,86,232,22.8,88,226,99.8,9.9,101.0
55.5,10.7,5:31,162,87,235,25.3,96,229,98.2,9.6,103.7
56.0,10.79,5:21,162,86,208,24.2,90,217,99.6,9.2,107.9
56.5,10.85,5:26,163,86,193,22.2,59,222,102.8,9.6,106.9
