timestamp,position_lat,position_long,distance,speed,altitude,heart_rate,cadence,power,temperature,dev_grd_pct,dev_ngp,vertical_speed
2026-04-24T21:00:35+00:00,,,0.0,,,,,,,,,
2026-04-24T21:00:36+00:00,37.91652009822428,127.05887840129435,,,,,,,,,,
2026-04-24T21:00:37+00:00,37.916516829282045,127.05890011042356,,,,87,,,,-0.056490249931812286,0.9681902527809143,
2026-04-24T21:00:38+00:00,37.916513392701745,127.05892181955278,,,,,,,,0.14957387745380402,1.336647629737854,
2026-04-24T21:00:39+00:00,37.916513392701745,127.05895182676613,,,,88,,,,0.33977624773979187,1.345263123512268,
2026-04-24T21:00:40+00:00,37.916513392701745,127.05898342654109,,,,88,,,,0.3836328089237213,1.8638997077941895,
2026-04-24T21:00:41+00:00,37.91652177460492,127.05901511013508,,,,88,,,,0.5205655694007874,1.8726775646209717,
2026-04-24T21:00:42+00:00,37.91652680374682,127.05904511734843,,,,91,,,,0.399191677570343,2.351383686065674,
2026-04-24T21:00:43+00:00,37.9165433999151,127.05907319672406,21.0,,61.39999999999998,92,88,152,17,0.3855482041835785,2.350287914276123,0.0
2026-04-24T21:00:44+00:00,37.91656510904431,127.0590965822339,24.0,2.52,61.39999999999998,93,88,165,17,0.3423885405063629,2.5491459369659424,0.0
2026-04-24T21:00:45+00:00,37.916598385199904,127.05910664051771,27.0,2.52,61.60000000000002,93,88,165,17,0.32984042167663574,2.548058032989502,0.0
2026-04-24T21:00:46+00:00,37.916623363271356,127.05912323668599,31.0,2.54,61.60000000000002,94,88,166,17,0.3147566020488739,2.566964864730835,0.0
2026-04-24T21:00:47+00:00,37.91665177792311,127.05913656391203,34.0,2.54,61.39999999999998,95,88,167,17,0.3023197650909424,2.5658812522888184,0.0
2026-04-24T21:00:48+00:00,37.916677594184875,127.05907696858048,37.0,2.62,61.39999999999998,99,88,175,17,0.28099536895751953,2.6447837352752686,0.0
2026-04-24T21:00:49+00:00,37.91670022532344,127.05909733660519,43.0,2.62,61.39999999999998,100,88,176,17,0.2689383029937744,2.6437041759490967,0.0
2026-04-24T21:00:50+00:00,37.91671707294881,127.0591124240309,46.0,2.76,61.39999999999998,101,88,186,17,0.23520642518997192,2.771718740463257,0.0
2026-04-24T21:00:51+00:00,37.91673400439322,127.05912759527564,49.0,2.76,61.39999999999998,102,88,187,17,0.21420903503894806,2.769756555557251,0.0
2026-04-24T21:00:52+00:00,37.91675663553178,127.05914779566228,51.0,2.58,61.39999999999998,103,88,175,17,0.20669902861118317,2.58780837059021,0.0
2026-04-24T21:00:53+00:00,37.91677348315716,127.05916288308799,54.0,2.58,61.39999999999998,104,88,175,17,0.1842310130596161,2.58585262298584,0.0
2026-04-24T21:00:54+00:00,37.91679611429572,127.05918308347464,56.0,2.6,61.39999999999998,107,88,178,17,0.15987426042556763,2.613898277282715,0.0
2026-04-24T21:00:55+00:00,37.916812961921096,127.05919833853841,59.0,2.6,61.39999999999998,108,88,178,17,0.13762100040912628,2.6119487285614014,0.0
2026-04-24T21:00:56+00:00,37.916829977184534,127.05921342596412,62.0,2.62,61.60000000000002,109,88,181,17,0.11453122645616531,2.630007266998291,0.0
2026-04-24T21:00:57+00:00,37.916841208934784,127.05922356806695,64.0,2.62,61.60000000000002,110,89,181,17,0.09244786947965622,2.6280677318573,0.0
2026-04-24T21:00:58+00:00,37.91686384007335,127.05924368463457,64.0,2.42,61.60000000000002,111,89,168,17,0.05293482542037964,2.424257516860962,0.0
2026-04-24T21:00:59+00:00,37.91688068769872,127.05925893969834,69.0,2.42,61.60000000000002,110,89,168,16,0.005639864131808281,2.420452356338501,0.0
2026-04-24T21:01:00+00:00,37.91689761914313,127.05927411094308,71.0,2.5,61.60000000000002,110,89,174,17,-0.040713440626859665,2.4866487979888916,0.0
2026-04-24T21:01:01+00:00,37.91692016646266,127.05929422751069,73.0,2.5,61.60000000000002,110,89,173,16,-0.08622007817029953,2.4829213619232178,0.0
2026-04-24T21:01:02+00:00,37.9169371817261,127.05930939875543,76.0,2.56,61.60000000000002,109,89,179,16,-0.12852640450000763,2.549177646636963,0.0
2026-04-24T21:01:03+00:00,37.91695972904563,127.05932959914207,79.0,2.56,61.60000000000002,111,89,180,16,-0.17310106754302979,2.545461654663086,0.0
2026-04-24T21:01:04+00:00,37.91698227636516,127.05934988334775,82.0,2.62,61.799999999999955,111,89,184,16,-0.21354947984218597,2.591756820678711,0.0
2026-04-24T21:01:05+00:00,37.91700482368469,127.05936999991536,85.0,2.62,61.799999999999955,111,89,183,16,-0.25731393694877625,2.588073492050171,0.0
2026-04-24T21:01:06+00:00,37.91702183894813,127.0593851711601,88.0,2.74,61.799999999999955,112,89,193,16,-0.17084462940692902,2.724640369415283,0.0
2026-04-24T21:01:07+00:00,37.91704438626766,127.05940537154675,90.0,2.74,61.799999999999955,117,89,196,16,-0.09650931507349014,2.7312862873077393,0.0
2026-04-24T21:01:08+00:00,37.91706693358719,127.05942573957145,93.0,2.74,62.0,117,89,197,16,-0.02218061313033104,2.7279961109161377,0.0
2026-04-24T21:01:09+00:00,37.91708378121257,127.05944082699716,96.0,2.74,62.0,119,89,195,16,0.052352383732795715,2.7347497940063477,0.0
2026-04-24T21:01:10+00:00,37.917112028226256,127.05946597270668,99.0,2.72,61.799999999999955,120,90,193,16,0.12750162184238434,2.731574535369873,0.0
2026-04-24T21:01:11+00:00,37.91713457554579,127.05948617309332,102.0,2.72,61.799999999999955,118,90,191,16,0.20238356292247772,2.738450050354004,0.0
2026-04-24T21:01:12+00:00,37.917151590809226,127.05950142815709,105.0,2.88,61.799999999999955,117,90,200,16,0.262774258852005,2.895362138748169,0.0
2026-04-24T21:01:13+00:00,37.91717413812876,127.05952171236277,108.0,2.88,62.0,120,90,201,16,0.3337424099445343,2.9023401737213135,0.0
2026-04-24T21:01:14+00:00,37.91719098575413,127.05953679978848,111.0,2.84,62.0,120,90,199,16,0.3895713984966278,2.867340087890625,0.0
2026-04-24T21:01:15+00:00,37.917213616892695,127.05955700017512,113.0,2.84,62.0,120,90,200,16,0.4405810236930847,2.8723490238189697,0.0
2026-04-24T21:01:16+00:00,37.91723046451807,127.05957217141986,116.0,2.8,62.0,122,90,194,16,0.4969092905521393,2.847404956817627,0.0
2026-04-24T21:01:17+00:00,37.91725309565663,127.05959228798747,118.0,2.8,62.0,120,90,194,16,0.5485687255859375,2.852482795715332,0.0
2026-04-24T21:01:18+00:00,37.91727002710104,127.05960745923221,122.0,2.78,62.0,120,90,193,16,0.604442298412323,2.837592124938965,0.0
2026-04-24T21:01:19+00:00,37.91729257442057,127.05962765961885,124.0,2.78,62.200000000000045,119,90,196,16,0.6564213633537292,2.8427236080169678,0.0
2026-04-24T21:01:20+00:00,37.91730950586498,127.0596428308636,127.0,2.76,62.200000000000045,119,90,195,16,0.7135860919952393,2.8279073238372803,0.0
2026-04-24T21:01:21+00:00,37.917326437309384,127.05965800210834,129.0,2.76,62.200000000000045,120,90,195,16,0.7658894658088684,2.8330929279327393,0.02
2026-04-24T21:01:22+00:00,37.917348984628916,127.05967828631401,132.0,2.72,62.200000000000045,121,90,191,16,0.7947472929954529,2.784590244293213,0.02
2026-04-24T21:01:23+00:00,37.917365999892354,127.05969354137778,135.0,2.72,62.200000000000045,121,90,192,16,0.8094890117645264,2.78603458404541,0.02
2026-04-24T21:01:24+00:00,37.917388463392854,127.05971357412636,137.0,2.72,62.39999999999998,120,90,193,16,0.8242013454437256,2.787478446960449,0.02
2026-04-24T21:01:25+00:00,37.91741109453142,127.059733774513,140.0,2.72,62.39999999999998,122,90,194,16,0.8389284014701843,2.788925886154175,0.02
2026-04-24T21:01:26+00:00,37.91743364185095,127.05975405871868,143.0,2.74,62.39999999999998,122,90,195,16,0.844323456287384,2.82033634185791,0.02
2026-04-24T21:01:27+00:00,37.91745618917048,127.05977425910532,146.0,2.74,62.39999999999998,123,90,195,16,0.8588746190071106,2.8217852115631104,0.02
2026-04-24T21:01:28+00:00,37.91747873649001,127.05979445949197,149.0,2.76,62.39999999999998,126,90,195,16,0.8671112060546875,2.8432095050811768,0.02
2026-04-24T21:01:29+00:00,37.9175069835037,127.05981977283955,152.0,2.76,62.39999999999998,125,90,195,16,0.8815714716911316,2.844663381576538,0.02
